,SL No.,Title,Price,Title,Price
0,1,"POCO C55 (Forest Green, 128 GB)","8,499","Samsung Galaxy A34 5G (Awesome Graphite, 8GB, 128GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger","30,999"
1,2,"POCO C55 (Power Black, 128 GB)","8,499","OnePlus 11 5G (Marble Odyssey, 16GB RAM, 256GB Storage)","64,999"
2,3,"POCO C55 (Cool Blue, 128 GB)","8,499","Redmi A2 (Classic Black, 4GB RAM, 64GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]","7,299"
3,4,"POCO C50 (Royal Blue, 32 GB)","5,499","realme narzo 50i (Mint Green, 2GB RAM+32GB Storage) Octa Core Processor | 6.5"" inch Large Display","6,299"
4,5,"POCO C50 (Country Green, 32 GB)","5,499","OnePlus Nord 2T 5G (Gray Shadow, 8GB RAM, 128GB Storage)","28,999"
5,6,"REDMI 11 Prime (Flashy Black, 128 GB)","10,999","Samsung Galaxy A23 5G, Silver (8GB, 128GB Storage) with Offer","23,999"
6,7,"Infinix Smart 7 HD (Green Apple, 64 GB)","6,199","Poco F1 by Xiaomi (Rosso Red, 6GB RAM, SD 845, 128GB Storage)","11,899"
7,8,"REDMI 11 Prime (Peppy Purple, 128 GB)","10,999","Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","9,499"
8,9,"MOTOROLA e13 (Cosmic Black, 64 GB)","7,299",realme narzo 50i Prime (Dark Blue 4GB RAM+64GB Storage) Octa-core Processor | 5000 mAh Battery,"7,499"
9,10,"MOTOROLA g13 (Lavender Blue, 128 GB)","9,999","OnePlus 10R 5G (Sierra Black, 12GB RAM, 256GB Storage, 80W SuperVOOC)","36,999"
